ColumnName,DataType
MIC,String
Ticker,String
ListingId,Int64
InstrumentId,Int64
CurrencyCode,String
TradeDate,"Datetime(time_unit='ms', time_zone=None)"
Timestamp,"Datetime(time_unit='us', time_zone=None)"
TimestampNanoseconds,"Datetime(time_unit='ns', time_zone=None)"
LocalTimestamp,"Datetime(time_unit='us', time_zone=None)"
BMLLSequenceNo,Int64
BMLLSequenceSource,Int64
ExchangeSequenceNo,Int64
MarketState,String
ExchangeAuctionType,String
ImbalanceSide,Int64
ReferencePrice,Float64
IndicativeUncrossingPrice,Float64
AuctionOnlyIndicativePrice,Float64
PairedQuantity,Float64
ImbalanceQuantity,Float64
IsCrossed,Boolean
BestBidPrice,Float64
BestAskPrice,Float64
