ColumnName,DataType
Ticker,String
MIC,String
OPOL,String
ISOCountryCode,String
SegmentCode,String
InstrumentCurrencyCode,String
ListingId,Int64
InstrumentId,Int64
TradeDate,"Datetime(time_unit='ms', time_zone=None)"
TradeTimestamp,"Datetime(time_unit='us', time_zone=None)"
PublicationTimestamp,"Datetime(time_unit='us', time_zone=None)"
LocalTradeTimestamp,"Datetime(time_unit='us', time_zone=None)"
LocalPublicationTimestamp,"Datetime(time_unit='us', time_zone=None)"
TradeTimestampNanoseconds,"Datetime(time_unit='ns', time_zone=None)"
PublicationTimestampNanoseconds,"Datetime(time_unit='ns', time_zone=None)"
TZOffset,Int32
TradeId,String
ExchangeSequenceNo,Int64
BMLLSequenceNo,Int64
BMLLSequenceSource,Int64
AggressorSide,Int64
Price,Float64
Size,Float64
CurrencyCode,String
InstrumentCurrencyPrice,Float64
MinorCurrencyFactor,Float64
ExecutionVenue,String
OriginalTradeType,String
MarketMechanism,String
TradingMode,String
TransactionCategory,String
NegotiatedTrade,String
CrossingTrade,String
ModificationIndicator,String
BenchmarkIndicator,String
SpecialDividendIndicator,String
OffBookAutomatedIndicator,String
PriceFormation,String
AlgorithmicTrade,String
PublicationMode,String
DeferralType,String
DuplicativeIndicator,String
BrokerIdBuyer,Null
BrokerIdSeller,Null
Jurisdiction,String
MarketState,String
MarketStateAtPrimary,String
BMLLTradeType,String
Classification,String
TradeNotional,Float64
TradeNotionalUSD,Float64
TradeNotionalEUR,Float64
BlockSize,Float64
BlockNotional,Float64
BlockNotionalCurrency,String
TradeNotionalBlockBps,Float64
IsBlock,String
LotType,String
ParticipantType,String
BMLLParticipantType,String
BestBidPrice,Float64
BestBidSize,Float64
BestBidVenue,String
BestAskPrice,Float64
BestAskSize,Float64
BestAskVenue,String
BestBidPriceAtVenue,Float64
BestBidSizeAtVenue,Float64
BestAskPriceAtVenue,Float64
BestAskSizeAtVenue,Float64
BestBidPriceAtPrimary,Float64
BestBidSizeAtPrimary,Float64
BestAskPriceAtPrimary,Float64
BestAskSizeAtPrimary,Float64
PriorQuoteSizeRank,Int64
PreTradeElapsedTimeChg,Int64
PostTradeElapsedTimeChg,Int64
PreTradeElapsedTimeChgAtPrimary,Int64
PostTradeElapsedTimeChgAtPrimary,Int64
PricePoint,Float64
PricePointAtVenue,Float64
PricePointAtPrimary,Float64
OrderRemainingQty,Float64
BBORemainingQtyAtVenue,Float64
PreTradeMid300000ms,Float64
PreTradeMid60000ms,Float64
PreTradeMid30000ms,Float64
PreTradeMid15000ms,Float64
PreTradeMid5000ms,Float64
PreTradeMid1000ms,Float64
PreTradeMid500ms,Float64
PreTradeMid200ms,Float64
PreTradeMid100ms,Float64
PreTradeMid50ms,Float64
PreTradeMid25ms,Float64
PreTradeMid10ms,Float64
PreTradeMid5ms,Float64
PreTradeMid2ms,Float64
PreTradeMid1ms,Float64
PostTradeMid1ms,Float64
PostTradeMid2ms,Float64
PostTradeMid5ms,Float64
PostTradeMid10ms,Float64
PostTradeMid25ms,Float64
PostTradeMid50ms,Float64
PostTradeMid100ms,Float64
PostTradeMid200ms,Float64
PostTradeMid500ms,Float64
PostTradeMid1000ms,Float64
PostTradeMid5000ms,Float64
PostTradeMid15000ms,Float64
PostTradeMid30000ms,Float64
PostTradeMid60000ms,Float64
PostTradeMid300000ms,Float64
PreTradeMid300000msAtPrimary,Float64
PreTradeMid60000msAtPrimary,Float64
PreTradeMid30000msAtPrimary,Float64
PreTradeMid15000msAtPrimary,Float64
PreTradeMid5000msAtPrimary,Float64
PreTradeMid1000msAtPrimary,Float64
PreTradeMid500msAtPrimary,Float64
PreTradeMid200msAtPrimary,Float64
PreTradeMid100msAtPrimary,Float64
PreTradeMid50msAtPrimary,Float64
PreTradeMid25msAtPrimary,Float64
PreTradeMid10msAtPrimary,Float64
PreTradeMid5msAtPrimary,Float64
PreTradeMid2msAtPrimary,Float64
PreTradeMid1msAtPrimary,Float64
PostTradeMid1msAtPrimary,Float64
PostTradeMid2msAtPrimary,Float64
PostTradeMid5msAtPrimary,Float64
PostTradeMid10msAtPrimary,Float64
PostTradeMid25msAtPrimary,Float64
PostTradeMid50msAtPrimary,Float64
PostTradeMid100msAtPrimary,Float64
PostTradeMid200msAtPrimary,Float64
PostTradeMid500msAtPrimary,Float64
PostTradeMid1000msAtPrimary,Float64
PostTradeMid5000msAtPrimary,Float64
PostTradeMid15000msAtPrimary,Float64
PostTradeMid30000msAtPrimary,Float64
PostTradeMid60000msAtPrimary,Float64
PostTradeMid300000msAtPrimary,Float64
PostTradeMid,Float64
PostTradeMidAtPrimary,Float64
PostTradeBestBid1V,Float64
PostTradeBestAsk1V,Float64
PostTradeBestBid3V,Float64
PostTradeBestAsk3V,Float64
PostTradeBestBid10V,Float64
PostTradeBestAsk10V,Float64
